receipt_no,trx_date,product_name,qty,subtotal
BI-20260522-001,2026-05-22 09:15:00,Kopi Susu DOM,2,50000
BI-20260522-001,2026-05-22 09:15:00,French Fries,1,20000
BI-20260522-002,2026-05-22 10:05:00,Americano,1,20000
BI-20260522-002,2026-05-22 10:05:00,Mix Platter,1,35000
BI-20260522-003,2026-05-22 11:30:00,Caramel Macchiato,2,60000
BI-20260522-003,2026-05-22 11:30:00,Nasi Goreng DOM,1,30000
BI-20260522-004,2026-05-22 13:10:00,Matcha Latte,1,28000
BI-20260522-004,2026-05-22 13:10:00,Ayam Chili Padi,2,70000
BI-20260522-005,2026-05-22 15:45:00,Zafeer Milktea,2,56000
BI-20260522-005,2026-05-22 15:45:00,Lychee Tea,1,22000
BI-20260522-006,2026-05-22 18:20:00,Spaghetti Aglio Olio,2,64000
BI-20260522-006,2026-05-22 18:20:00,Kopi Susu DOM,1,25000
